ID,Name,Position,SM,WF,Rating,Color,League,Club,Country,Age,Rarity,Foot,Attack WR,Defense WR,Cost
5875,Amor Layouni,LW,3,4,66,silver,Eliteserien (NOR 1),Vålerenga Fotball,Tunisia,30,Rare,Left,High,Med,550
5876,Borchgrevink,RB,3,4,66,silver,Eliteserien (NOR 1),Vålerenga Fotball,Norway,23,Non Rare,Right,High,Med,600
5877,Sondre Rossbach,GK,1,3,66,silver,Eliteserien (NOR 1),Vålerenga Fotball,Norway,26,Non Rare,Right,Med,Med,600
5878,Tobias Christensen,CAM,3,3,66,silver,Eliteserien (NOR 1),Vålerenga Fotball,Norway,22,Non Rare,Left,High,Med,750
5879,Jonatan Tollås Nation,CB,2,3,65,silver,Eliteserien (NOR 1),Vålerenga Fotball,Norway,32,Non Rare,Right,Low,Med,4500
5880,Petter Strand,CM,3,3,65,silver,Eliteserien (NOR 1),Vålerenga Fotball,Norway,28,Rare,Right,High,High,550
5881,Brynjar Ingi Bjarnason,CB,2,3,64,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Iceland,23,Rare,Right,Med,Med,350
5882,Henrik Udahl,ST,2,4,63,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,26,Non Rare,Right,High,Med,850
5883,Odin Thiago Holm,CM,4,3,62,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,20,Non Rare,Right,Med,Med,200
5884,Seedy Jatta,ST,2,3,58,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,19,Non Rare,Right,High,Med,200
5885,Magnus Sjøeng,GK,1,1,58,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,20,Rare,Right,Med,Med,350
5886,Jacob Eng,RW,3,3,57,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,18,Rare,Right,Med,Med,350
5887,Mathias Emilsen,CDM,2,3,55,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,19,Non Rare,Right,Med,Med,200
5888,Magnus Riisnæs,CM,2,3,55,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,18,Non Rare,Right,Med,Med,200
5889,Storm Strand-Kolbjørnsen,GK,1,2,53,bronze,Eliteserien (NOR 1),Vålerenga Fotball,Norway,18,Non Rare,Right,Med,Med,200
5890,Viljar Myhra,GK,1,3,68,silver,Eliteserien (NOR 1), Strømsgodset IF,Norway,26,Non Rare,Right,Med,Med,600
5891,Johan Hove,CAM,3,3,68,silver,Eliteserien (NOR 1), Strømsgodset IF,Norway,22,Non Rare,Right,High,Med,650
5892,Gustav Valsvik,CB,2,2,68,silver,Eliteserien (NOR 1), Strømsgodset IF,Norway,29,Rare,Left,Med,High,550
5893,Herman Stengel,CM,3,4,67,silver,Eliteserien (NOR 1), Strømsgodset IF,Norway,27,Non Rare,Right,Med,Med,650
5894,Fred Friday,ST,3,4,66,silver,Eliteserien (NOR 1), Strømsgodset IF,Nigeria,27,Non Rare,Right,Med,Low,800
5895,Lars Vilsvik,RB,3,4,66,silver,Eliteserien (NOR 1), Strømsgodset IF,Norway,34,Non Rare,Right,High,Med,600
5896,Ipalibo Jack,CDM,2,2,66,silver,Eliteserien (NOR 1), Strømsgodset IF,Nigeria,24,Non Rare,Right,Low,Med,600
5897,Niklas Gunnarsson,CB,2,3,65,silver,Eliteserien (NOR 1), Strømsgodset IF,Norway,31,Non Rare,Right,Med,High,800
5898,Thomas Grøgaard,LB,3,2,64,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,28,Rare,Left,High,Med,350
5899,Ari Leifsson,CB,2,4,64,bronze,Eliteserien (NOR 1), Strømsgodset IF,Iceland,24,Rare,Right,Med,Med,400
5900,Kristoffer Tokstad,RW,3,2,63,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,31,Rare,Right,Med,Med,5100
5901,Halldor Stenevik,RW,4,3,63,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,22,Non Rare,Right,Med,High,1000
5902,Tobias Fjeld Gulliksen,LW,4,3,62,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,19,Non Rare,Right,Med,Med,200
5903,Morten Sætra,GK,1,3,62,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,25,Rare,Right,Med,Med,350
5904,Jonatan Braut-Brunes,ST,3,3,62,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,22,Non Rare,Left,Med,Med,200
5905,Ernest Boahene,RB,2,2,60,bronze,Eliteserien (NOR 1), Strømsgodset IF,Ghana,22,Non Rare,Right,Med,Med,200
5906,Sondre Fosnæss Hanssen,CB,2,3,60,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,21,Non Rare,Right,Med,Med,200
5907,Kreshnik Krasniqi,CM,3,3,59,bronze,Eliteserien (NOR 1), Strømsgodset IF,Kosovo,22,Non Rare,Right,Med,Med,200
5908,Ole Enersen,LW,2,2,58,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,20,Non Rare,Right,High,High,200
5909,Aleksander B. Stenseth,LW,3,3,54,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,22,Non Rare,Right,Med,Med,250
5910,Albert Palmberg Thorsen,ST,2,3,54,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,19,Non Rare,Right,Med,Med,200
5911,Eirik Blikstad,CB,2,3,54,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,18,Non Rare,Right,Med,Med,200
5912,Andreas Skjold,CAM,3,2,52,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,19,Non Rare,Left,Med,Med,200
5913,Fabian Holst-Larsen,RB,2,3,52,bronze,Eliteserien (NOR 1), Strømsgodset IF,Norway,18,Non Rare,Right,High,Med,200
5914,Young Kwang Kim,GK,1,3,69,silver, K League 1 (KOR 1),Seongnam FC,South Korea,39,Rare,Right,Med,Med,600
5915,Mulic,ST,3,3,69,silver, K League 1 (KOR 1),Seongnam FC,Serbia,28,Rare,Right,High,Med,600
5916,Si Young Lee,RWB,2,2,68,silver, K League 1 (KOR 1),Seongnam FC,South Korea,25,Non Rare,Right,Med,Med,650
5917,Manuel Palacios,RM,4,3,68,silver, K League 1 (KOR 1),Seongnam FC,Colombia,29,Rare,Right,High,Low,1000
5918,Dong Woon Shim,CAM,3,5,66,silver, K League 1 (KOR 1),Seongnam FC,South Korea,32,Rare,Right,High,Med,600
5919,Wan Gyu Gwon,CB,2,4,65,silver, K League 1 (KOR 1),Seongnam FC,South Korea,31,Rare,Right,Med,Med,650
5920,Je Woon Yeon,CB,2,3,65,silver, K League 1 (KOR 1),Seongnam FC,South Korea,28,Non Rare,Right,Med,Med,750
5921,Milos Raickovic,CM,3,3,65,silver, K League 1 (KOR 1),Seongnam FC,Montenegro,29,Non Rare,Right,Med,Med,750
5922,Min Hyeok Kim,CB,2,2,65,silver, K League 1 (KOR 1),Seongnam FC,South Korea,30,Non Rare,Right,Med,High,1000
5923,Min Hyeok Kim,CM,2,4,64,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,30,Rare,Right,High,Med,600
5924,Sang Hoon Ma,CB,2,2,64,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,31,Rare,Right,Low,High,550
5925,Soon Hyung Kwon,CM,3,3,64,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,36,Rare,Right,Med,Med,450
5926,Jong Ho Lee,ST,3,4,64,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,30,Rare,Left,High,Med,400
5927,Bon Chul Koo,RM,3,3,63,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,23,Non Rare,Right,Med,Med,950
5928,Pil Soo Choe,GK,1,3,61,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,31,Non Rare,Left,Med,Med,200
5929,In Soo Yu,LB,2,3,61,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,28,Non Rare,Right,High,Med,200
5930,Ji Hoon Lee,RB,2,3,61,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,28,Non Rare,Right,Med,Med,200
5931,Soo Il Park,LWB,3,3,61,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,26,Non Rare,Right,High,Med,200
5932,Kwang Sun Kwak,CB,2,5,60,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,36,Non Rare,Right,Med,Med,950
5933,Yong Ji Park,ST,3,3,60,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,30,Non Rare,Right,Med,Low,550
5934,Ji Soo Kim,CB,2,4,59,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,18,Non Rare,Right,Med,High,200
5935,Ji Moog Choi,LB,2,4,59,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,24,Non Rare,Left,Med,High,500
5936,Jae won Lee,CM,3,4,59,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,25,Non Rare,Right,Med,Med,200
5937,Jin Beom An,CM,2,4,57,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,30,Non Rare,Right,Med,Med,200
5938,Eui Bin Kang,CB,2,3,56,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,24,Non Rare,Right,Med,Med,200
5939,Sung Soo Jeon,ST,2,3,55,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,22,Non Rare,Right,High,Med,200
5940,Hun Min Kim,RB,3,3,53,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,21,Non Rare,Right,Med,High,200
5941,Seung Min Eom,RW,3,3,53,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,19,Non Rare,Right,Med,Low,200
5942,Ji won Park,RW,2,3,53,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,22,Non Rare,Right,Med,Low,200
5943,Jae Woo Kang,ST,3,3,52,bronze, K League 1 (KOR 1),Seongnam FC,South Korea,22,Non Rare,Right,High,High,200
5944,Sung Yueng Ki,CDM,3,5,74,silver, K League 1 (KOR 1), FC Seoul,South Korea,33,Rare,Right,Med,High,850
5945,Stanislav Iljutcenko,ST,3,4,73,silver, K League 1 (KOR 1), FC Seoul,Russia,32,Rare,Right,High,Med,600
5946,Osmar Ibañez Barba,CB,2,3,73,silver, K League 1 (KOR 1), FC Seoul,Spain,34,Rare,Left,Med,High,550
5947,Sang Ho Na,LW,3,4,70,silver, K League 1 (KOR 1), FC Seoul,South Korea,26,Rare,Right,High,Low,550
5948,Han Been Yang,GK,1,3,69,silver, K League 1 (KOR 1), FC Seoul,South Korea,31,Non Rare,Right,Med,Med,900
5949,Young Wook Cho,ST,4,3,68,silver, K League 1 (KOR 1), FC Seoul,South Korea,23,Rare,Right,High,Med,800
5950,Aleksandar Paločević,CM,3,3,67,silver, K League 1 (KOR 1), FC Seoul,Serbia,29,Non Rare,Left,High,Low,600
5951,Jin Ya Kim,LB,3,4,66,silver, K League 1 (KOR 1), FC Seoul,South Korea,24,Rare,Right,High,High,600
5952,Yo Han Go,CM,3,3,66,silver, K League 1 (KOR 1), FC Seoul,South Korea,34,Non Rare,Right,High,High,750
5953,Kwang Min Ko,LB,3,4,66,silver, K League 1 (KOR 1), FC Seoul,South Korea,34,Non Rare,Right,Med,Med,550
5954,Jong Gyu Yoon,RB,2,3,65,silver, K League 1 (KOR 1), FC Seoul,South Korea,24,Non Rare,Right,Med,High,750
5955,Hyun Cheol Jeong,CDM,2,3,65,silver, K League 1 (KOR 1), FC Seoul,South Korea,29,Non Rare,Right,Low,High,600
5956,Dong Jin Park,ST,2,3,64,bronze, K League 1 (KOR 1), FC Seoul,South Korea,28,Rare,Right,High,High,400
5957,Keijiro Ogawa,RM,3,4,63,bronze, K League 1 (KOR 1), FC Seoul,Japan,30,Non Rare,Right,Med,Med,750
5958,Seong Jin Kang,RW,4,3,63,bronze, K League 1 (KOR 1), FC Seoul,South Korea,19,Non Rare,Left,Med,Med,200
5959,Hyun Soo Hwang,CB,2,4,63,bronze, K League 1 (KOR 1), FC Seoul,South Korea,27,Non Rare,Right,Med,Med,1200
5960,Sang Min Lee,CB,2,4,63,bronze, K League 1 (KOR 1), FC Seoul,South Korea,25,Non Rare,Right,Med,High,750
5961,Han Beom Lee,CB,2,3,62,bronze, K League 1 (KOR 1), FC Seoul,South Korea,20,Non Rare,Right,Low,High,450
5962,Dong Won Ji,ST,3,4,61,bronze, K League 1 (KOR 1), FC Seoul,South Korea,31,Non Rare,Right,High,Med,200
5963,Ji Hun Cho,CM,2,3,61,bronze, K League 1 (KOR 1), FC Seoul,South Korea,32,Non Rare,Right,Med,Med,2500
5964,Tae Suk Lee,LB,3,3,61,bronze, K League 1 (KOR 1), FC Seoul,South Korea,20,Non Rare,Left,Med,Med,200
5965,Seung Gyu Han,CM,4,4,60,bronze, K League 1 (KOR 1), FC Seoul,South Korea,26,Non Rare,Right,Med,Med,200
5966,Min Hyuk Lim,CM,3,3,59,bronze, K League 1 (KOR 1), FC Seoul,South Korea,25,Non Rare,Right,High,Med,1100
5967,Ju Sung Kim,CB,2,3,59,bronze, K League 1 (KOR 1), FC Seoul,South Korea,22,Non Rare,Left,Low,High,200
5968,Sung Min Hwang,GK,1,3,58,bronze, K League 1 (KOR 1), FC Seoul,South Korea,31,Non Rare,Right,Med,Med,200
5969,Shin Jin Kim,ST,2,4,56,bronze, K League 1 (KOR 1), FC Seoul,South Korea,21,Non Rare,Right,High,Low,200
5970,Sang Hoon Paik,CM,3,3,56,bronze, K League 1 (KOR 1), FC Seoul,South Korea,21,Non Rare,Right,Med,Med,200
5971,Han Min Jeong,LM,3,3,55,bronze, K League 1 (KOR 1), FC Seoul,South Korea,22,Non Rare,Right,High,Low,2900
5972,Oh Yeon Cha,CB,3,3,53,bronze, K League 1 (KOR 1), FC Seoul,South Korea,24,Non Rare,Left,Med,High,1500
5973,Jong Beom Baek,GK,1,2,51,bronze, K League 1 (KOR 1), FC Seoul,South Korea,22,Non Rare,Right,Med,Med,200
5974,Dave Bulthuis,CB,2,3,74,silver, K League 1 (KOR 1),Suwon Samsung,Netherlands,32,Rare,Left,Med,Med,650
5975,Byong Jun An,ST,2,4,70,silver,K League 1 (KOR 1),Suwon Samsung,Korea DPR,32,Non Rare,Right,High,Med,700
5976,Sang Gi Min,CB,2,3,70,silver, K League 1 (KOR 1),Suwon Samsung,South Korea,31,Rare,Right,Low,High,550
5977,Elvis Saric,CM,3,3,70,silver, K League 1 (KOR 1),Suwon Samsung,Bosnia and Herzegovina,32,Non Rare,Left,High,High,650
5978,Ki Je Lee,LWB,3,2,69,silver, K League 1 (KOR 1),Suwon Samsung,South Korea,31,Rare,Left,High,Med,600
5979,Hyung Mo Yang,GK,1,3,68,silver, K League 1 (KOR 1),Suwon Samsung,South Korea,31,Non Rare,Left,Med,Med,600
5980,Manabu Saito,LM,3,4,68,silver, K League 1 (KOR 1),Suwon Samsung,Japan,32,Non Rare,Right,High,Med,700
5981,Tae Hwan Kim,RWB,3,3,66,silver, K League 1 (KOR 1),Suwon Samsung,South Korea,22,Non Rare,Right,Med,Med,600
5982,Sung Geun Choi,CDM,3,4,65,silver, K League 1 (KOR 1),Suwon Samsung,South Korea,31,Non Rare,Right,Med,High,550
5983,Hyun Gyu Oh,ST,3,3,65,silver, K League 1 (KOR 1),Suwon Samsung,South Korea,21,Non Rare,Right,High,Med,650
5984,Se Jin Jeon,LW,3,4,64,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,23,Rare,Right,High,Low,350
5985,Ho Ik Jang,CB,3,3,64,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,29,Rare,Right,Med,High,350
5986,Hyeong Jin Park,CB,2,3,64,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,32,Rare,Left,High,Med,400
5987,Seung Won Jeong,CM,3,3,64,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,25,Rare,Right,High,High,450
5988,Seung Woo Ryu,LW,3,3,63,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,29,Non Rare,Right,High,Med,200
5989,Jong Sung Lee,CM,2,3,63,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,30,Non Rare,Right,Med,High,500
5990,Seok Jong Han,CDM,2,4,63,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,30,Non Rare,Right,Low,High,800
5991,Dong Geon No,GK,1,3,62,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,31,Non Rare,Right,Med,Med,200
5992,Hyun Muk Kang,CM,3,3,62,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,21,Non Rare,Right,High,Med,650
5993,Dae Won Park,CB,3,3,61,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,24,Non Rare,Right,Med,Med,2900
5994,Ki Hun Yeom,CM,3,3,60,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,39,Non Rare,Left,High,Low,200
5995,Sang Hyuk Park,CM,3,3,60,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,24,Non Rare,Right,High,Med,550
5996,Ji Min Park,GK,1,3,60,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,22,Non Rare,Right,Med,Med,200
5997,Ju An You,ST,3,3,59,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,24,Non Rare,Right,High,Med,500
5998,Myeong Seok Go,CB,2,2,59,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,27,Non Rare,Right,Med,High,500
5999,Ho Jin Jeong,CDM,2,3,59,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,23,Non Rare,Right,Med,High,200
6000,Sang Min Yang,CB,2,3,57,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,38,Non Rare,Left,Med,High,350
6001,Je Ho Yu,CM,3,4,57,bronze, K League 1 (KOR 1),Suwon Samsung,South Korea,22,Non Rare,Right,High,Med,200
6002,Sebastián Torrico,GK,1,2,72,silver,Primera División (ARG 1),San Lorenzo,Argentina,42,Non Rare,Right,Med,Med,850
6003,Ezequiel Cerutti,RW,4,3,71,silver,Primera División (ARG 1),San Lorenzo,Argentina,31,Non Rare,Right,High,Med,650
6004,Cristian Zapata,CB,2,2,71,silver,Primera División (ARG 1),San Lorenzo,Colombia,36,Non Rare,Right,Med,High,750
6005,Adam Bareiro,ST,3,3,71,silver,Primera División (ARG 1),San Lorenzo,Paraguay,26,Non Rare,Right,High,Med,750
6006,Augusto Batalla,GK,1,3,70,silver,Primera División (ARG 1),San Lorenzo,Argentina,26,Non Rare,Right,Med,Med,600
6007,Jalil Elías,CM,3,2,70,silver,Primera División (ARG 1),San Lorenzo,Argentina,26,Non Rare,Right,Med,Med,700
6008,Juan Ignacio Méndez,CDM,3,3,69,silver,Primera División (ARG 1),San Lorenzo,Argentina,25,Non Rare,Right,High,High,650
6009,Federico Gattoni,CB,2,4,69,silver,Primera División (ARG 1),San Lorenzo,Argentina,23,Non Rare,Right,Med,High,550
6010,Nahuel Barrios,LW,4,3,69,silver,Primera División (ARG 1),San Lorenzo,Argentina,24,Non Rare,Right,Med,Med,850
6011,Agustín Martegani,CAM,4,3,69,silver,Primera División (ARG 1),San Lorenzo,Argentina,22,Non Rare,Left,High,Med,550
6012,Gonzalo Maroni,CAM,3,2,69,silver,Primera División (ARG 1),San Lorenzo,Argentina,23,Rare,Right,Med,Low,600
6013,Gastón Campi,CB,3,2,68,silver,Primera División (ARG 1),San Lorenzo,Argentina,31,Non Rare,Left,Low,High,650
6014,Néstor Ortigoza,CDM,2,3,67,silver,Primera División (ARG 1),San Lorenzo,Paraguay,38,Non Rare,Right,Med,Low,600
6015,Siro Rosane,CDM,2,3,66,silver,Primera División (ARG 1),San Lorenzo,Argentina,22,Non Rare,Right,Med,High,600
6016,Andrés Vombergar,ST,2,3,66,silver,Primera División (ARG 1),San Lorenzo,Argentina,28,Non Rare,Right,High,Med,600
6017,Francisco Flores,CB,2,2,64,bronze,Primera División (ARG 1),San Lorenzo,Argentina,21,Rare,Right,Med,Med,500
6018,Diego Calcaterra,CB,2,3,64,bronze,Primera División (ARG 1),San Lorenzo,Argentina,21,Rare,Right,Low,Med,450
6019,Nicolás Blandi,ST,3,4,63,bronze,Primera División (ARG 1),San Lorenzo,Argentina,33,Rare,Right,High,Med,2000
6020,Marco Pereira,GK,1,3,74,silver,Liga NOS (POR 1),Santa Clara,Portugal,36,Rare,Right,Med,Med,600
6021,Allano,LW,3,3,73,silver,Liga NOS (POR 1),Santa Clara,Brazil,27,Rare,Left,Med,Med,600
6022,Kennedy Boateng,CB,2,3,71,silver,Liga NOS (POR 1),Santa Clara,Togo,26,Non Rare,Right,Med,Med,550
6023,Pierre Sagna,RB,3,2,70,silver,Liga NOS (POR 1),Santa Clara,Senegal,32,Non Rare,Right,High,Med,600
6024,Kyosuke Tagawa,ST,3,2,70,silver,Liga NOS (POR 1),Santa Clara,Japan,23,Rare,Left,High,Low,600
6025,Cristian González,CB,2,3,69,silver,Liga NOS (POR 1),Santa Clara,Uruguay,26,Non Rare,Right,Med,High,600
6026,Xavier Quintillà Guasch,LB,2,3,69,silver,Liga NOS (POR 1),Santa Clara,Spain,26,Non Rare,Left,Med,Med,650
6027,Ricardo Jorge Oliveira António,LW,3,2,68,silver,Liga NOS (POR 1),Santa Clara,Portugal,24,Non Rare,Right,Med,Med,600
6028,Óscar Barreto,RW,4,3,68,silver,Liga NOS (POR 1),Santa Clara,Colombia,29,Non Rare,Right,Med,Low,1000
6029,Costinha,CAM,3,4,67,silver,Liga NOS (POR 1),Santa Clara,Portugal,30,Non Rare,Right,High,Med,750
6030,Paulo Henrique Rodrigues Cabral,LB,2,2,66,silver,Liga NOS (POR 1),Santa Clara,Portugal,26,Non Rare,Left,Med,Med,650
6031,Ricardo Manuel Vieira da Silva,GK,1,2,65,silver,Liga NOS (POR 1),Santa Clara,Portugal,23,Non Rare,Right,Med,Med,650
6032,Ricardo Fernandes,GK,1,2,64,bronze,Liga NOS (POR 1),Santa Clara,Portugal,28,Rare,Right,Med,Med,1100
6033,André Miguel Pinto Lopes,RW,2,3,63,bronze,Liga NOS (POR 1),Santa Clara,Portugal,27,Rare,Right,Med,Med,1000
6034,Filip Stevanovic,LM,4,3,63,bronze,Liga NOS (POR 1),Santa Clara,Serbia,20,Non Rare,Right,Med,Med,900
6035,Rodrigo Ribeiro Valente,CAM,2,2,62,bronze,Liga NOS (POR 1),Santa Clara,Portugal,21,Rare,Right,Med,Med,1900
6036,Bruno Jordão,CM,3,3,62,bronze,Liga NOS (POR 1),Santa Clara,Portugal,24,Non Rare,Right,Med,Med,600
6037,Oliver Berg,CF,3,3,70,silver,Allsvenskan (SWE 1), Kalmar FF,Norway,29,Non Rare,Right,High,High,800
6038,Lars Sætra,CB,2,3,67,silver,Allsvenskan (SWE 1), Kalmar FF,Norway,31,Rare,Right,Low,Med,550
6039,Carl Gustafsson,CM,2,3,66,silver,Allsvenskan (SWE 1), Kalmar FF,Sweden,22,Non Rare,Right,Med,Med,650
6040,Romário Pereira Sipião,CM,3,3,65,silver,Allsvenskan (SWE 1), Kalmar FF,Brazil,37,Non Rare,Right,Med,Med,650
6041,Ricardo Schuck Friedrich,GK,1,1,65,silver,Allsvenskan (SWE 1), Kalmar FF,Brazil,29,Non Rare,Right,Med,Med,600
6042,Nahom Girmai Netabay,CM,3,3,64,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,28,Rare,Left,High,Med,500
6043,Rasmus Sjöstedt,CB,2,2,64,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,30,Rare,Right,Med,Med,550
6044,Davíð Kristján Ólafsson,LB,2,3,64,bronze,Allsvenskan (SWE 1), Kalmar FF,Iceland,27,Rare,Left,High,Med,350
6045,Sebastian Nanasi,CAM,3,3,64,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,20,Rare,Right,High,Med,550
6046,Kevin Jensen,LW,3,3,64,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,21,Rare,Right,Med,Med,300
6047,Filip Sachpekidis,CF,3,2,63,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,25,Rare,Right,Med,Med,700
6048,Simon Skrabb,ST,3,2,63,bronze,Allsvenskan (SWE 1), Kalmar FF,Finland,28,Rare,Left,High,Med,400
6049,Erik Israelsson,CM,2,4,62,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,33,Rare,Right,High,High,10000
6050,Papa Diouf,ST,2,3,62,bronze,Allsvenskan (SWE 1), Kalmar FF,Senegal,33,Non Rare,Right,High,Med,3300
6051,Noah Shamoun,CF,3,3,61,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,20,Rare,Right,Med,Med,350
6052,Axel Lindahl,RB,3,3,60,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,27,Rare,Right,Med,Med,350
6053,Adnan Kojić,RB,2,2,60,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,27,Non Rare,Right,Med,Med,200
6054,Johan Stenmark,CB,2,3,60,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,23,Rare,Right,Med,Med,2700
6055,Johan Karlsson,RWB,2,3,59,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,21,Non Rare,Right,Med,Med,200
6056,Victor Backman,CF,2,3,58,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,21,Non Rare,Left,Med,Med,400
6057,Jakob Kindberg,GK,1,1,56,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,28,Non Rare,Right,Med,Med,200
6058,Lukas Rhöse,LB,2,3,54,bronze,Allsvenskan (SWE 1), Kalmar FF,Sweden,22,Non Rare,Right,Med,Med,850
6059,Justin Lonwijk,CM,3,3,67,silver,3F Superliga (DEN 1), Viborg FF,Netherlands,23,Non Rare,Right,High,Med,5900
6060,Clint Leemans,CM,3,2,67,silver,3F Superliga (DEN 1), Viborg FF,Netherlands,27,Rare,Left,Med,Med,700
6061,Elias Achouri,RW,3,3,67,silver,3F Superliga (DEN 1), Viborg FF,France,23,Non Rare,Right,Med,Med,650
6062,Mads Lauritsen,CB,2,2,66,silver,3F Superliga (DEN 1), Viborg FF,Denmark,29,Rare,Right,Med,Med,600
6063,Grønning,CDM,2,3,66,silver,3F Superliga (DEN 1), Viborg FF,Denmark,31,Non Rare,Right,Med,High,600
6064,Lucas Lund,GK,1,3,66,silver,3F Superliga (DEN 1), Viborg FF,Denmark,22,Non Rare,Right,Med,Med,650
6065,Jay-Roy Grot,ST,3,2,66,silver,3F Superliga (DEN 1), Viborg FF,Netherlands,24,Rare,Right,Med,Med,650
6066,Oliver Bundgaard,LB,2,2,65,silver,3F Superliga (DEN 1), Viborg FF,Denmark,21,Rare,Left,High,Med,600
6067,Jakob Bonde,CM,2,3,65,silver,3F Superliga (DEN 1), Viborg FF,Denmark,29,Non Rare,Left,High,Med,600
6068,Nicolas Bürgy,CB,2,3,65,silver,3F Superliga (DEN 1), Viborg FF,Switzerland,27,Non Rare,Right,Low,Med,650
6069,Daniel Anyembe,RB,2,3,65,silver,3F Superliga (DEN 1), Viborg FF,Denmark,24,Rare,Right,High,Med,650
6070,Mikkel Andersen,GK,1,3,64,bronze,3F Superliga (DEN 1), Viborg FF,Denmark,34,Rare,Right,Med,Med,800
6071,Marokhy Ndione,ST,2,3,64,bronze,3F Superliga (DEN 1), Viborg FF,Sweden,23,Rare,Right,Med,Med,400
6072,Nils Mortimer Moreno,LW,3,4,63,bronze,3F Superliga (DEN 1), Viborg FF,Spain,21,Non Rare,Left,Med,Med,500
6073,Žan Zaletel,CB,2,3,63,bronze,3F Superliga (DEN 1), Viborg FF,Slovenia,23,Non Rare,Right,Med,High,200
6074,Sofus Berger,CAM,3,3,62,bronze,3F Superliga (DEN 1), Viborg FF,Denmark,19,Non Rare,Right,High,Med,200
6075,Jan Žambůrek,CAM,3,3,62,bronze,3F Superliga (DEN 1), Viborg FF,Czech Republic,21,Non Rare,Right,Med,High,200
