Player Name,Rating,Quality,Rarity,Position,Nation,League,Club,Price Range,FUTBIN Price,Bought For,Discard Value,Contract Left,IsUntradable,IsLoaned
Sulemana,75,Gold,Common,LW,Ghana,Ligue 1 Uber Eats,Stade Rennais FC,Min:300 Max:10000,1900,0,0,7,true,false,
Iván Alejo,75,Gold,Common,RM,Spain,LaLiga Santander,Cádiz CF,Min:300 Max:10000,350,0,0,7,true,false,
Furuhashi,75,Gold,RARE,ST,Japan,cinch Prem,Celtic,Min:600 Max:10000,700,0,0,7,true,false,
João Paulo,75,Gold,Common,CM,Brazil,MLS,Sounders FC,Min:300 Max:10000,500,0,0,7,true,false,
Martins Indi,75,Gold,Common,CB,Netherlands,Eredivisie,AZ,Min:300 Max:10000,650,0,0,7,true,false,
Teuma,75,Gold,Common,CM,Malta,1A Pro League,R. Union St.-G.,Min:300 Max:10000,350,0,0,7,true,false,
Masuaku,75,Gold,Common,LB,DR Congo,Süper Lig,Beşiktaş,Min:300 Max:10000,400,0,0,7,true,false,
Lamptey,75,Gold,Common,RWB,Ghana,Premier League,Brighton,Min:300 Max:10000,350,0,0,7,true,false,
Nsame,75,Gold,Common,ST,Cameroon,CSSL ,BSC Young Boys,Min:300 Max:10000,400,0,0,7,true,false,
Danso,75,Gold,Common,CB,Austria,Ligue 1 Uber Eats,RC Lens,Min:300 Max:10000,800,0,0,7,true,false,
Cristaldo,75,Gold,Common,CAM,Argentina,LPF,Huracán,Min:300 Max:10000,5000,0,0,7,true,false,
King,75,Gold,Common,ST,Norway,Süper Lig,Fenerbahçe,Min:300 Max:10000,400,0,0,7,true,false,
Pinnock,75,Gold,Common,CB,Jamaica,Premier League,Brentford,Min:300 Max:10000,400,0,0,7,true,false,
Junior Firpo,75,Gold,Common,LB,Spain,Premier League,Leeds United,Min:300 Max:10000,1600,0,0,7,true,false,
Boadu,75,Gold,RARE,ST,Netherlands,Ligue 1 Uber Eats,AS Monaco,Min:600 Max:10000,1100,0,0,7,true,false,
McCarthy,75,Gold,Common,GK,England,Premier League,Southampton,Min:300 Max:10000,550,0,0,7,true,false,
Hause,75,Gold,Common,CB,England,EFL Championship,Watford,Min:300 Max:10000,400,0,0,7,true,false,
Dorley,75,Gold,Common,LB,Liberia,Česká Liga,Slavia Praha,Min:300 Max:10000,400,0,0,7,true,false,
Liénard,75,Gold,Common,LWB,France,Ligue 1 Uber Eats,Strasbourg,Min:300 Max:10000,1300,0,0,7,true,false,
Hauche,75,Gold,Special,RW,Argentina,Sudamericana,Racing Club,Min:300 Max:10000,1100,0,0,7,true,false,
Fran García,75,Gold,Common,LB,Spain,LaLiga Santander,Rayo Vallecano,Min:300 Max:10000,1500,0,0,7,true,false,
Manu Vallejo,73,Silver,RARE,ST,Spain,LaLiga Santander,Girona FC,Min:300 Max:10000,3400,0,0,7,true,false,
Walcott,72,Silver,Common,RM,England,Premier League,Southampton,Min:150 Max:10000,1400,0,0,7,true,false,
Andersen,71,Silver,Common,CM,Denmark,Serie BKT,Venezia,Min:150 Max:10000,10000,0,0,7,true,false,
Tagawa,70,Silver,RARE,ST,Japan,Liga Portugal,Santa Clara,Min:250 Max:10000,750,0,0,7,true,false,
Gerard Valentín,70,Silver,RARE,RM,Spain,LaLiga SmartBank,SD Huesca,Min:250 Max:10000,800,0,0,7,true,false,
Tuiloma,69,Silver,Common,CB,New Zealand,MLS,Charlotte FC,Min:150 Max:5000,200,0,0,7,true,false,
Daubin,66,Silver,Common,CDM,France,Ligue 2 BKT,SM Caen,Min:150 Max:10000,400,0,0,7,true,false,
Batty,65,Silver,Common,CM,England,EFL League One,Fleetwood Town,Min:150 Max:10000,700,0,0,45,true,false,
Hylton,65,Silver,Common,ST,England,EFL League Two,Northampton,Min:150 Max:10000,650,0,0,45,true,false,
Clare,65,Silver,Common,CB,England,EFL League One,Charlton Ath,Min:150 Max:10000,400,0,0,7,true,false,
Nygren,65,Silver,Common,ST,Sweden,3F Superliga,FC Nordsjælland,Min:150 Max:10000,700,0,0,7,true,false,
Featherstone,63,Bronze,Common,CDM,England,EFL League Two,Hartlepool,Min:150 Max:10000,250,0,0,45,true,false,
Cooke,63,Bronze,Common,CAM,England,EFL League Two,Hartlepool,Min:150 Max:10000,300,0,0,45,true,false,
Ion,63,Bronze,Common,RW,Romania,SUPERLIGA,Farul Constanța,Min:150 Max:10000,--NA--,0,0,45,true,false,
Herzenbruch,63,Bronze,Common,CB,Germany,3. Liga,Rot-Weiss Essen,Min:150 Max:10000,--NA--,0,0,7,true,false,
Kim Han Gil,62,Bronze,Common,LM,Korea Republic,K League 1,Gimcheon Sangmu,Min:150 Max:10000,2600,0,0,45,true,false,
Ovelar,62,Bronze,Special,RM,Paraguay,Libertadores,Cerro Porteño,Min:150 Max:10000,1000,0,0,7,true,false,
Kolskogen,62,Bronze,Common,CB,Norway,Eliteserien,FK Jerv,Min:150 Max:10000,--NA--,0,0,7,true,false,
Sotiriou,62,Bronze,Common,LM,Cyprus,EFL League Two,Leyton Orient,Min:150 Max:10000,4000,0,0,7,true,false,
Bowery,61,Bronze,Common,ST,England,EFL League Two,Mansfield Town,Min:150 Max:10000,550,0,0,45,true,false,
Acton,61,Bronze,Common,GK,Australia,A-League,Melb. Victory,Min:150 Max:10000,10000,0,0,7,true,false,
Magnússon,61,Bronze,Special,ST,Iceland,3F Superliga,Lyngby BK,Min:1000 Max:10000,--NA--,0,0,7,true,false,
Park Byung Hyun,60,Bronze,Common,CB,Korea Republic,K League 1,Daegu FC,Min:150 Max:10000,--NA--,0,0,45,true,false,
Nolan,60,Bronze,Common,CM,England,EFL League Two,Tranmere Rovers,Min:150 Max:10000,10000,0,0,45,true,false,
Karakuş,60,Bronze,Common,GK,Turkey,Süper Lig,Adana Demirspor,Min:150 Max:10000,200,0,0,45,true,false,
Corrado,60,Bronze,Special,LB,Italy,Serie BKT,Ternana,Min:150 Max:5100,--NA--,0,0,7,true,false,
Suljic,60,Bronze,Common,CB,Sweden,Allsvenskan,Helsingborgs IF,Min:150 Max:10000,900,0,0,7,true,false,
Larade,60,Bronze,Special,CB,France,1A Pro League,Cercle Brugge,Min:150 Max:10000,--NA--,0,0,7,true,false,
Qin Sheng,60,Bronze,Special,CB,China PR,CSL,Shanghai Shenhua,Min:150 Max:5100,--NA--,0,0,7,true,false,
Ruschke,59,Bronze,Common,LB,Germany,Bundesliga 2,Hansa Rostock,Min:150 Max:10000,1000,0,0,45,true,false,
Magee,58,Bronze,Common,CAM,Jamaica,1A Pro League,KAS Eupen,Min:150 Max:10000,200,0,0,45,true,false,
Rowe,57,Bronze,Common,CB,England,EFL League Two,Sutton United,Min:150 Max:10000,600,0,0,45,true,false,
Sargeant,57,Bronze,Common,GK,England,EFL League Two,Leyton Orient,Min:150 Max:10000,200,0,0,45,true,false,
Long,57,Bronze,Common,GK,Scotland,EFL League One,Lincoln City,Min:150 Max:10000,--NA--,0,0,7,true,false,
Singh,56,Bronze,Common,RM,India,Hero ISL,Mumbai City FC,Min:150 Max:10000,200,0,0,45,true,false,
Dhot,52,Bronze,Common,RB,India,Hero ISL,Chennaiyin FC,Min:150 Max:10000,550,0,0,45,true,false,
Guinan,52,Bronze,Common,ST,England,EFL League One,Cheltenham Town,Min:150 Max:10000,--NA--,0,0,7,true,false,
Shabong,51,Bronze,Common,CDM,India,Hero ISL,ATK Mohun Bagan,Min:150 Max:10000,200,0,0,45,true,false,
Hnamte,51,Bronze,Common,LW,India,Hero ISL,ATK Mohun Bagan,Min:150 Max:10000,850,0,0,45,true,false,
Wiles-Richards,50,Bronze,Common,GK,England,EFL Championship,Bristol City,Min:150 Max:10000,250,0,0,7,true,false,
